day,fuel,ceiling,nat_n,nat_cap,nat_below,loc_n,loc_cap,loc_below
2025-06-04,E10,1.99,7453,1,7415,249,1,248
2025-06-04,Gazole,2.25,9507,0,9505,261,0,261
2025-06-04,SP98,1.99,7997,9,7841,257,2,236
2025-06-05,E10,1.99,7455,1,7417,249,1,248
2025-06-05,Gazole,2.25,9508,0,9507,260,0,260
2025-06-05,SP98,1.99,7999,9,7845,256,2,237
2025-06-06,E10,1.99,7455,1,7414,249,1,248
2025-06-06,Gazole,2.25,9508,0,9507,260,0,260
2025-06-06,SP98,1.99,7999,9,7845,256,2,237
2025-06-07,E10,1.99,7454,1,7413,249,1,248
